6	0	3.31	2.87	4.32	3.33
6	1	3.31	2.98	4.34	3.39
6	2	3.79	3.18	4.94	3.85
6	3	4.20	3.39	5.90	4.49
6	4	4.98	3.48	8.53	5.13
6	5	6.61	4.24	21.92	5.92
6	6	9.98	5.08	67.01	6.89
6	7	17.93	6.17	318.41	8.54
6	8	62.79	7.31	229.57	8.37
6	9	369.37	9.12	52.75	8.13
6	10	326.54	8.45	16.02	6.52
6	11	42.00	6.72	8.20	4.56
6	12	14.01	5.33	5.60	4.14
6	13	7.75	4.40	4.13	3.55
6	14	5.12	3.75	3.39	3.24
6	15	4.37	3.43	3.00	2.54
7	0	3.42	3.25	4.46	3.55
7	1	3.31	3.02	4.57	3.45
7	2	3.71	3.20	5.43	4.06
7	3	4.48	3.53	7.11	4.92
7	4	5.30	4.30	11.25	6.23
7	5	8.28	4.78	49.88	8.23
7	6	17.96	6.39	257.42	11.38
7	7	26.50	7.44	975.64	11.68
7	8	188.10	10.57	975.56	12.16
7	9	976.34	13.25	132.04	10.34
7	10	976.15	12.57	21.84	7.52
7	11	123.12	8.83	10.01	5.18
7	12	19.02	6.14	6.30	4.29
7	13	9.16	5.04	4.26	3.33
7	14	5.46	3.96	3.48	3.11
7	15	4.59	3.34	3.05	2.83
8	0	3.21	3.04	4.41	3.56
8	1	3.25	3.31	4.43	4.07
8	2	3.48	3.32	5.55	4.30
8	3	4.18	3.69	7.43	5.43
8	4	5.62	4.18	15.12	7.19
8	5	10.42	5.50	87.39	12.68
8	6	27.49	8.62	717.49	22.09
8	7	38.55	10.53	975.61	27.95
8	8	428.50	19.16	975.56	25.31
8	9	976.26	32.73	260.88	17.35
8	10	976.24	33.04	36.77	11.22
8	11	225.63	15.31	12.14	6.24
8	12	26.71	8.40	6.96	4.65
8	13	10.19	5.61	4.48	3.42
8	14	5.98	4.37	3.80	3.32
8	15	4.57	3.45	3.09	3.02
9	0	3.15	3.02	4.27	4.03
9	1	2.99	3.10	4.23	4.18
9	2	3.65	3.34	5.60	4.90
9	3	4.17	4.25	7.68	6.10
9	4	5.64	4.63	16.43	8.66
9	5	11.01	6.65	101.13	23.42
9	6	27.20	11.04	885.92	53.54
9	7	41.20	15.67	975.34	173.32
9	8	503.90	49.90	975.40	119.09
9	9	976.30	233.81	274.68	40.47
9	10	976.28	175.56	41.39	18.20
9	11	217.12	28.75	12.11	7.45
9	12	28.85	11.12	7.21	5.19
9	13	10.52	6.47	4.41	4.07
9	14	5.84	5.08	3.64	3.34
9	15	4.69	4.38	3.12	3.30
10	0	3.09	3.53	3.88	4.55
10	1	3.15	3.41	4.08	4.55
10	2	3.67	3.46	4.99	5.40
10	3	4.00	4.23	6.94	7.07
10	4	5.08	5.32	14.13	11.40
10	5	10.09	9.14	79.52	62.07
10	6	22.10	19.78	527.06	373.14
10	7	31.88	25.87	975.43	975.85
10	8	307.67	272.05	975.58	975.65
10	9	976.31	975.61	192.47	128.80
10	10	976.43	975.37	29.15	24.50
10	11	144.01	95.02	10.30	9.43
10	12	20.26	16.43	6.51	6.35
10	13	9.51	8.36	4.51	4.26
10	14	5.75	5.35	3.75	3.43
10	15	4.70	4.50	3.31	3.34
11	0	3.27	3.41	3.85	4.63
11	1	3.42	3.49	3.74	4.84
11	2	3.57	3.55	4.51	5.68
11	3	4.02	4.10	6.50	7.98
11	4	4.72	5.45	11.39	14.96
11	5	8.70	11.47	47.19	101.62
11	6	16.58	29.98	192.11	763.94
11	7	20.86	36.09	975.47	975.42
11	8	101.49	495.38	694.22	975.45
11	9	779.67	975.47	87.44	229.25
11	10	653.49	975.31	20.00	33.72
11	11	58.44	174.71	7.55	11.36
11	12	13.86	22.81	5.23	7.18
11	13	7.17	9.61	4.19	4.51
11	14	5.02	5.34	3.52	3.57
11	15	4.34	4.12	3.07	3.41
12	0	3.04	3.29	3.88	4.44
12	1	3.02	3.24	3.86	4.21
12	2	3.45	3.45	4.32	5.45
12	3	3.76	4.11	5.59	8.29
12	4	4.50	5.32	8.30	17.19
12	5	6.71	11.81	19.15	119.06
12	6	10.62	33.77	34.82	939.11
12	7	11.93	41.01	54.84	975.41
12	8	24.66	560.35	40.61	975.47
12	9	44.83	975.46	21.29	257.16
12	10	42.53	975.44	10.46	39.17
12	11	15.30	193.92	5.66	11.32
12	12	8.25	26.19	4.39	7.11
12	13	5.69	9.39	3.69	4.46
12	14	4.41	5.41	3.28	3.76
12	15	3.74	4.38	2.95	3.33
13	0	2.95	3.18	3.45	4.15
13	1	3.02	3.02	3.54	4.23
13	2	3.12	3.38	3.92	5.35
13	3	3.59	3.95	5.04	7.47
13	4	4.08	4.93	6.35	16.46
13	5	5.27	10.03	10.51	96.02
13	6	8.08	29.22	17.71	695.42
13	7	8.71	35.03	16.54	975.32
13	8	13.52	413.46	15.29	975.31
13	9	16.23	975.27	11.15	185.70
13	10	15.49	975.28	7.23	29.98
13	11	8.81	145.21	5.06	9.68
13	12	6.27	20.41	4.01	6.19
13	13	4.90	8.47	3.34	4.50
13	14	4.10	5.25	3.36	3.61
13	15	3.63	4.15	2.86	3.40
14	0	2.89	3.06	3.27	3.86
14	1	3.03	3.22	3.32	4.27
14	2	3.17	3.34	3.71	4.78
14	3	3.41	3.85	4.35	6.37
14	4	3.75	4.37	4.90	11.35
14	5	4.69	7.27	6.19	46.33
14	6	5.86	16.31	8.64	212.90
14	7	6.12	22.18	9.26	975.35
14	8	8.15	113.91	9.05	586.24
14	9	9.62	866.36	7.27	72.68
14	10	8.51	600.09	5.35	17.58
14	11	5.75	47.51	4.46	7.40
14	12	5.17	12.18	3.78	5.43
14	13	4.37	6.33	3.27	4.20
14	14	3.94	4.68	3.15	3.44
14	15	3.28	3.83	2.67	3.04
15	0	2.90	2.99	3.22	4.00
15	1	2.89	3.20	3.00	4.34
15	2	2.93	3.44	3.34	4.49
15	3	3.16	3.86	3.91	6.47
15	4	3.68	4.24	4.35	10.19
15	5	4.03	6.22	5.16	21.60
15	6	4.92	10.07	6.14	46.30
15	7	5.38	14.47	6.62	114.90
15	8	5.91	31.57	6.14	77.15
15	9	6.73	85.42	5.40	28.97
15	10	5.94	67.05	4.66	11.06
15	11	4.78	17.36	4.00	6.27
15	12	4.53	8.48	3.75	4.68
15	13	4.10	5.38	3.26	3.80
15	14	3.70	4.31	2.95	3.27
15	15	3.52	3.88	2.82	3.24
16	0	2.75	3.16	2.98	3.60
16	1	2.75	3.15	3.10	3.68
16	2	2.88	3.14	3.24	4.35
16	3	2.98	3.33	3.58	5.20
16	4	3.45	4.33	3.74	6.35
16	5	3.65	4.61	4.08	9.04
16	6	3.99	5.96	4.20	13.02
16	7	4.07	7.59	4.59	15.23
16	8	4.24	10.52	4.23	13.32
16	9	4.60	14.05	3.91	9.47
16	10	4.54	12.39	3.64	6.78
16	11	4.08	8.31	3.63	5.21
16	12	4.02	6.36	3.29	4.41
16	13	3.76	5.00	3.08	3.52
16	14	3.44	4.14	2.80	3.28
16	15	3.05	3.52	2.55	3.29
17	0	2.69	2.99	2.89	3.37
17	1	2.73	3.09	3.00	3.34
17	2	2.77	3.10	3.19	4.38
17	3	3.08	3.33	3.43	4.36
17	4	3.14	3.40	3.75	5.06
17	5	3.58	4.31	3.92	6.28
17	6	3.73	4.90	3.82	7.85
17	7	3.82	5.46	3.77	8.65
17	8	3.88	7.09	3.81	7.63
17	9	3.96	8.34	3.79	6.19
17	10	3.87	7.34	3.58	5.44
17	11	3.93	5.99	3.31	4.73
17	12	3.64	5.25	3.10	4.29
17	13	3.41	4.27	2.94	3.45
17	14	3.23	3.87	2.73	3.13
17	15	3.08	3.15	2.52	2.71
18	0	2.44	2.52	2.74	3.16
18	1	2.59	2.63	2.73	3.27
18	2	2.68	3.00	2.80	3.59
18	3	2.75	3.13	3.17	4.13
18	4	3.01	3.22	3.26	4.42
18	5	3.07	3.79	3.34	5.12
18	6	3.29	4.16	3.52	5.41
18	7	3.44	4.60	3.38	5.85
18	8	3.37	5.10	3.30	5.18
18	9	3.51	5.53	3.23	4.91
18	10	3.41	4.99	2.95	4.45
18	11	3.54	4.48	3.04	4.26
18	12	3.13	4.20	2.80	3.64
18	13	2.93	3.79	2.64	3.24
18	14	2.98	3.30	2.55	2.96
18	15	2.78	3.23	2.38	2.44
19	0	2.84	2.59	2.84	3.15
19	1	2.61	2.43	2.80	2.97
19	2	2.60	2.55	2.66	3.21
19	3	2.81	2.78	2.79	3.36
19	4	2.93	3.36	3.03	4.36
19	5	2.95	3.43	3.22	4.39
19	6	3.01	3.86	3.11	4.39
19	7	3.34	4.20	3.10	4.48
19	8	3.19	4.36	2.88	4.39
19	9	3.11	4.65	3.06	4.07
19	10	3.10	4.06	2.97	3.97
19	11	3.11	3.89	2.86	3.63
19	12	3.03	3.62	2.69	3.40
19	13	3.05	3.48	2.56	3.31
